Date,Value,location,parameter,longitude,latitude,Date_Converted
2024-08-22T13:00:00+00:00,0.837499999,1552754,pm25,-122.432269,45.592266,2024-08-22 13:00:00+00:00
2024-08-22T12:00:00+00:00,0.691666665,1552754,pm25,-122.432269,45.592266,2024-08-22 12:00:00+00:00
2024-08-22T11:00:00+00:00,0.889583339,1552754,pm25,-122.432269,45.592266,2024-08-22 11:00:00+00:00
2024-08-22T10:00:00+00:00,0.697916677,1552754,pm25,-122.432269,45.592266,2024-08-22 10:00:00+00:00
2024-08-22T09:00:00+00:00,0.681250008,1552754,pm25,-122.432269,45.592266,2024-08-22 09:00:00+00:00
2024-08-22T08:00:00+00:00,0.56666668,1552754,pm25,-122.432269,45.592266,2024-08-22 08:00:00+00:00
2024-08-22T07:00:00+00:00,0.69583334,1552754,pm25,-122.432269,45.592266,2024-08-22 07:00:00+00:00
2024-08-22T06:00:00+00:00,0.927083338,1552754,pm25,-122.432269,45.592266,2024-08-22 06:00:00+00:00
2024-08-22T05:00:00+00:00,1.21874998,1552754,pm25,-122.432269,45.592266,2024-08-22 05:00:00+00:00
2024-08-22T04:00:00+00:00,1.681249986,1552754,pm25,-122.432269,45.592266,2024-08-22 04:00:00+00:00
2024-08-22T03:00:00+00:00,1.38333333,1552754,pm25,-122.432269,45.592266,2024-08-22 03:00:00+00:00
2024-08-22T02:00:00+00:00,1.50833331,1552754,pm25,-122.432269,45.592266,2024-08-22 02:00:00+00:00
2024-08-22T01:00:00+00:00,2.31249999,1552754,pm25,-122.432269,45.592266,2024-08-22 01:00:00+00:00
2024-08-22T00:00:00+00:00,2.870833337,1552754,pm25,-122.432269,45.592266,2024-08-22 00:00:00+00:00
2024-08-21T23:00:00+00:00,4.043750048,1552754,pm25,-122.432269,45.592266,2024-08-21 23:00:00+00:00
2024-08-21T22:00:00+00:00,4.037499944,1552754,pm25,-122.432269,45.592266,2024-08-21 22:00:00+00:00
2024-08-21T21:00:00+00:00,3.256250004,1552754,pm25,-122.432269,45.592266,2024-08-21 21:00:00+00:00
2024-08-21T20:00:00+00:00,3.864583333,1552754,pm25,-122.432269,45.592266,2024-08-21 20:00:00+00:00
2024-08-21T19:00:00+00:00,3.952083329,1552754,pm25,-122.432269,45.592266,2024-08-21 19:00:00+00:00
